year,danceability,energy,danceability_delta,energy_delta
1953,0.44083369999999994,0.26741820999999966,-0.0151875000000000,0.0118030999999995
1952,0.45602119999999996,0.2556151100000002,-0.0054018999999999,-0.0016549299999998
1951,0.46142309999999986,0.25727004000000003,-0.0676139500000005,-0.0462660100000004
1950,0.5290370500000003,0.30353605000000045,0.0850061500000008,0.0563220350000008
1949,0.4440308999999995,0.24721401499999962,-0.0187053500000008,0.0057304659999994
1948,0.4627362500000003,0.2414835490000002,-0.0093676599526069,-0.0214716287251185
1947,0.47210390995260715,0.26295517772511867,0.0569628282495004,0.0405944412464076
1946,0.41514108170310676,0.22236073647871105,-0.1027150682968944,-0.0030518340212890
1945,0.5178561500000012,0.22541257050000008,0.0152865001945535,-0.0272495176971466
1944,0.5025696498054477,0.2526620881971467,0.0474724509258962,-0.0272285700661586
1943,0.4550971988795515,0.27989065826330534,-0.0099165208129382,0.0244425388073619
1942,0.4650137196924897,0.2554481194559435,-0.0160608408038918,-0.0100384058801474
1941,0.48107456049638153,0.2654865253360909,-0.0443764270296059,-0.0467918998198343
1940,0.5254509875259874,0.3122784251559252,0.0117951875259872,0.0274506251559250
1939,0.5136558000000002,0.2848278000000002,0.0331453498392282,0.0035794077170418
1938,0.48051045016077204,0.2812483922829584,-0.0621299431826470,-0.0292640585491141
1937,0.5426403933434191,0.31051245083207246,-0.0807376566565811,0.0465047758820723
1936,0.6233780500000001,0.2640076749500002,0.0683809968289552,0.0173847601517940
1935,0.554997053171045,0.24662291479820622,0.0258286682913200,-0.0169473601158832
1934,0.529168384879725,0.2635702749140894,-0.0409008458895055,-0.0231839985901841
1933,0.5700692307692304,0.2867542735042735,-0.0321448357269332,0.0083919972894396
1932,0.6022140664961636,0.27836227621483395,0.0073212979011213,0.0436258268346685
1931,0.5948927685950423,0.23473644938016547,0.0751825883193263,-0.1001233915530266
1930,0.5197101802757159,0.33485984093319204,-0.1281296725108242,0.0929520596503323
1929,0.6478398527865401,0.24190778128285972,0.1129331861198740,0.0330519616750166
1928,0.5349066666666661,0.2088558196078431,-0.1210226666666668,-0.0590463137254902
1927,0.6559293333333329,0.26790213333333335,0.0590143596689238,0.0573957074492101
1926,0.5969149736644092,0.21050642588412327,0.0220404216930830,-0.0675795956212530
1925,0.5748745519713262,0.2780860215053763,0.0249804841747160,-0.0662605886641149
1924,0.5498940677966102,0.3443466101694912,-0.0274464727439299,0.0819401236830047
1923,0.5773405405405401,0.2624064864864865,0.0017207058297963,0.0362338418583873
1922,0.5756198347107437,0.22617264462809922,0.1434493218902307,-0.0149637015257470
1921,0.432170512820513,0.2411363461538462,-0.0835796304459630,-0.1775632240467268
1920,0.515750143266476,0.41869957020057297,"",""
